trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-72.56805367832064,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-138.0907146140438,"{0: 16, 1: 1, 2: 3, 3: 4, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-272.1009599729238,"{0: 15, 1: 6, 2: 2, 3: 2, 4: 5}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,13,-94.35100872335619,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-126.33614782551399,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-125.21593097635252,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,18,-58.05161761334363,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-187.79618602600596,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,9,3.0473079225701754,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-76.55786351035962,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-225.39261146260472,"{0: 8, 1: 1, 2: 5, 3: 3, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-56.53883784061064,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-182.34449060144098,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-46.652063926747786,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,8,-120.1538279530726,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-156.66947018966266,"{0: 18, 1: 6, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-139.32867748361096,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-49.601604000859126,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-13.471739598617438,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-194.22182409051283,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",25,0,-80.12005045230238,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-186.62175618677173,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-142.56757490527326,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-153.60077789543578,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",30,0,-105.21477796586615,"{0: 17, 1: 4, 2: 7, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-24.70349888742343,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-148.55933860694452,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",35,0,-208.85678334074777,"{0: 23, 1: 4, 2: 3, 3: 1, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",25,0,-145.36221950016852,"{0: 12, 1: 6, 2: 3, 3: 3, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-84.21287009325636,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
