trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9984661208769304}",25,0,-146.59131099281586,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9969345945390249}",25,0,-71.36981708975742,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9954054173773956}",20,0,-130.27144295302668,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.99387858578869}",25,0,-171.3806742768909,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9923540961750829}",25,0,-165.7167162975815,"{0: 13, 1: 6, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9908319449442672}",20,0,-140.16138903386627,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9893121285094467}",25,0,-167.5775057913083,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9877946432893265}",25,0,-134.77362638287445,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9862794857081051}",20,8,-25.7336890435342,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9847666521954656}",20,0,-60.39703753569975,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9832561391865677}",25,5,-135.1394062026059,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",1
12,False,"{'a': 0.5, 'e': 0.9817479431220394}",30,0,-228.85953976462878,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 5}",1
13,False,"{'a': 0.5, 'e': 0.980242060447968}",25,0,-144.44839717258535,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9787384876158921}",25,0,-214.6289761235277,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9772372210827933}",20,0,-108.19428386827548,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9757382573110879}",20,0,-80.51394518364386,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.974241592768618}",20,0,-93.98415491255702,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9727472239286442}",20,0,-141.55532984286353,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9712551472698361}",30,0,-200.62280115483568,"{0: 14, 1: 6, 2: 6, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.969765359276265}",20,0,-41.50512335574325,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.968277856437395}",25,0,-111.93498673643344,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.966792635248075}",20,0,-133.12027881321296,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9653096922085306}",30,0,-164.81164711492886,"{0: 14, 1: 4, 2: 10, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9638290238243552}",25,0,-73.81014548068781,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9623506266065024}",20,0,-40.9431070008444,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9608744970712777}",20,0,-153.77660894287743,"{0: 7, 1: 5, 2: 6, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9594006317403301}",20,0,-145.08546537628806,"{0: 11, 1: 4, 2: 1, 3: 2, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9579290271406438}",30,0,-125.31108898951722,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9564596798045303}",20,0,-58.35595133834282,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9549925862696202}",25,0,-79.56239751578353,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.953527743078855}",20,0,-106.4714352483969,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9520651467804787}",20,0,-126.69038983301103,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9506047939280299}",25,1,-200.77066765224788,"{0: 10, 1: 2, 2: 7, 3: 3, 4: 2}",1
34,False,"{'a': 0.5, 'e': 0.9491466810803338}",20,0,-36.47312064748669,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9476908048014938}",25,0,-157.5000032882284,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.9462371616608838}",25,0,-144.66577975035761,"{0: 10, 1: 5, 2: 7, 3: 3, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.9447857482331395}",20,0,-109.83792174614686,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.943336561098151}",20,0,-129.4571660178753,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.9418895968410542}",20,0,-66.2122907755227,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.9404448520522233}",20,0,-84.84938296795768,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9390023233272621}",20,0,-85.27076830243398,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.9375620072669965}",20,0,-72.57937240569196,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9361239004774664}",20,0,-171.3344252225607,"{0: 7, 1: 5, 2: 5, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9346879995699175}",35,0,-42.97234693714458,"{0: 26, 1: 4, 2: 5, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9332543011607936}",20,0,-157.78246170379217,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9318228018717281}",20,0,-223.87825089542528,"{0: 6, 1: 6, 2: 2, 3: 3, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9303934983295368}",20,0,-109.91824483065153,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",1
48,False,"{'a': 0.5, 'e': 0.9289663871662094}",20,0,-42.15686308727258,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.9275414650189017}",20,0,-125.60486780211917,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.9261187285299278}",20,0,-72.45418548378312,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9246981743467519}",20,0,-97.4344538148017,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.9232797991219809}",20,0,-103.08710026069865,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9218635995133557}",25,0,-169.28282512126614,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.9204495721837443}",25,0,-118.12790519308037,"{0: 12, 1: 5, 2: 6, 3: 2, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.9190377138011334}",20,0,-40.02977415847471,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.9176280210386202}",20,0,-83.64984813800193,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.9162204905744054}",25,0,-49.260404809182816,"{0: 15, 1: 7, 2: 3, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.9148151190917847}",25,0,-100.41015749307125,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
